os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 22.04.1 LTS,11th Gen Intel Core i5-11400 @ 2.60GHz,UHD Graphics 730,65647272,5.15.0-50-generic,4.6 Mesa 22.2.0-devel,powersave
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
20.2939,49276,4.77707,0,33,0,0,0,0,0,12.575,480896586
20.6919,48328,4.77707,0,33,0,0,0,0,0,12.575,581057057
22.8196,43822,4.77707,0,33,0,0,0,0,0,12.575,681151749
23.1852,43131,4.77707,0,33,0,0,0,0,0,12.575,781310103
19.47,51361,4.77707,0,33,0,0,0,0,0,12.575,881414118
22.0119,45430,4.77707,0,33,0,0,0,0,0,12.575,981498600
22.1156,45217,2.4077,0,33,0,0,0,0,0,12.5754,1081623658
20.7383,48220,2.4077,0,33,0,0,0,0,0,12.5754,1181705459
19.156,52203,2.4077,0,33,0,0,0,0,0,12.5754,1281849195
19.784,50546,2.4077,0,33,0,0,0,0,0,12.5754,1382042914
21.5522,46399,2.4077,0,33,0,0,0,0,0,12.5754,1482193477
19.486,51319,3.11987,0,33,0,0,0,0,0,12.5858,1582274925
20.0888,49779,3.11987,0,33,0,0,0,0,0,12.5858,1682412816
22.8128,43835,3.11987,0,33,0,0,0,0,0,12.5858,1782554548
20.6838,48347,3.11987,0,33,0,0,0,0,0,12.5858,1882692060
20.3616,49112,3.11987,0,33,0,0,0,0,0,12.5858,1982831829
22.8985,43671,4,0,33,0,0,0,0,0,12.5959,2082952805
20.5689,48617,4,0,33,0,0,0,0,0,12.5959,2183097885
21.4551,46609,4,0,33,0,0,0,0,0,12.5959,2283162338
23.4979,42557,4,0,33,0,0,0,0,0,12.5959,2383263116
22.4205,44602,4,0,33,0,0,0,0,0,12.5959,2483352918
24.3273,41106,8.18898,0,39,0,0,0,0,0,12.4447,2583506163
21.523,46462,8.18898,0,39,0,0,0,0,0,12.4447,2683649086
20.4361,48933,8.18898,0,39,0,0,0,0,0,12.4447,2783787514
21.0566,47491,8.18898,0,39,0,0,0,0,0,12.4447,2883924936
19.9025,50245,8.18898,0,39,0,0,0,0,0,12.4447,2984071597
21.7623,45951,3.61842,0,39,0,0,0,0,0,12.4547,3084129576
23.2105,43084,3.61842,0,39,0,0,0,0,0,12.4547,3184211753
23.0931,43303,3.61842,0,39,0,0,0,0,0,12.4547,3284349510
20.9833,47657,3.61842,0,39,0,0,0,0,0,12.4547,3384485134
22.478,44488,3.61842,0,39,0,0,0,0,0,12.4547,3484621820
22.647,44156,3.61842,0,39,0,0,0,0,0,12.4547,3584703797
20.0337,49916,2.29133,0,32,0,0,0,0,0,12.4547,3684845972
19.0306,52547,2.29133,0,32,0,0,0,0,0,12.4547,3785030357
20.3986,49023,2.29133,0,32,0,0,0,0,0,12.4547,3885199318
22.0187,45416,2.29133,0,32,0,0,0,0,0,12.4547,3985336843
22.8666,43732,2.29133,0,32,0,0,0,0,0,12.4547,4085398999
21.529,46449,4.39739,0,32,0,0,0,0,0,12.449,4185533002
22.0303,45392,4.39739,0,32,0,0,0,0,0,12.449,4285669530
22.8995,43669,4.39739,0,32,0,0,0,0,0,12.449,4385831453
21.0119,47592,4.39739,0,32,0,0,0,0,0,12.449,4485994827
22.6127,44223,4.39739,0,32,0,0,0,0,0,12.449,4586094685
22.5933,44261,2.45098,0,33,0,0,0,0,0,12.449,4686235804
21.023,47567,2.45098,0,33,0,0,0,0,0,12.449,4786367590
23.3078,42904,2.45098,0,33,0,0,0,0,0,12.449,4886508275
21.846,45775,2.45098,0,33,0,0,0,0,0,12.449,4986602987
23.8039,42010,2.45098,0,33,0,0,0,0,0,12.449,5086681865
20.3467,49148,3.30033,0,33,0,0,0,0,0,12.4614,5186825957
20.1849,49542,3.30033,0,33,0,0,0,0,0,12.4614,5286964376
21.9756,45505,3.30033,0,33,0,0,0,0,0,12.4614,5387100474
19.369,51629,3.30033,0,33,0,0,0,0,0,12.4614,5487175626
20.7568,48177,3.30033,0,33,0,0,0,0,0,12.4614,5587306821
23.231,43046,2.73752,0,32,0,0,0,0,0,12.4617,5687450906
23.2623,42988,2.73752,0,32,0,0,0,0,0,12.4617,5787608577
20.0957,49762,2.73752,0,32,0,0,0,0,0,12.4617,5887774009
21.7434,45991,2.73752,0,32,0,0,0,0,0,12.4617,5987938606
22.2281,44988,2.73752,0,32,0,0,0,0,0,12.4617,6088004046
19.5351,51190,3.72168,0,32,0,0,0,0,0,12.4749,6188142341
21.8713,45722,3.72168,0,32,0,0,0,0,0,12.4749,6288272179
23.2412,43027,3.72168,0,32,0,0,0,0,0,12.4749,6388367864
20.7417,48212,3.72168,0,32,0,0,0,0,0,12.4749,6488496204
22.4558,44532,3.72168,0,32,0,0,0,0,0,12.4749,6588574791
22.1518,45143,4.16667,0,31,0,0,0,0,0,12.4165,6688712735
19.7441,50648,4.16667,0,31,0,0,0,0,0,12.4165,6788854983
20.1613,49600,4.16667,0,31,0,0,0,0,0,12.4165,6888996042
20.5023,48775,4.16667,0,31,0,0,0,0,0,12.4165,6989167694
20.2024,49499,4.16667,0,31,0,0,0,0,0,12.4165,7089264654
23.1932,43116,4.32,0,31,0,0,0,0,0,12.4163,7189352315
21.2179,47130,4.32,0,31,0,0,0,0,0,12.4163,7289442744
22.8995,43669,4.32,0,31,0,0,0,0,0,12.4163,7389577033
22.8284,43805,4.32,0,31,0,0,0,0,0,12.4163,7489712857
20.3828,49061,4.32,0,31,0,0,0,0,0,12.4163,7589847029
22.9395,43593,4.32,0,31,0,0,0,0,0,12.4163,7689941123
23.1455,43205,2.76423,0,33,0,0,0,0,0,12.4163,7790082782
22.3859,44671,2.76423,0,33,0,0,0,0,0,12.4163,7890247980
20.6215,48493,2.76423,0,33,0,0,0,0,0,12.4163,7990357746
22.171,45104,2.76423,0,33,0,0,0,0,0,12.4163,8090424121
21.0053,47607,2.76423,0,33,0,0,0,0,0,12.4163,8190547127
20.7961,48086,4.2623,0,33,0,0,0,0,0,12.427,8290686563
20.1902,49529,4.2623,0,33,0,0,0,0,0,12.427,8390823144
22.4548,44534,4.2623,0,33,0,0,0,0,0,12.427,8490959814
22.7656,43926,4.2623,0,33,0,0,0,0,0,12.427,8591111770
21.4814,46552,4.2623,0,33,0,0,0,0,0,12.427,8691209566
23.0771,43333,2.90323,0,33,0,0,0,0,0,12.427,8791360778
23.3814,42769,2.90323,0,33,0,0,0,0,0,12.427,8891499172
20.9271,47785,2.90323,0,33,0,0,0,0,0,12.427,8991635941
19.354,51669,2.90323,0,33,0,0,0,0,0,12.427,9091780390
22.9579,43558,2.90323,0,33,0,0,0,0,0,12.427,9191902888
21.1372,47310,4.02576,0,33,0,0,0,0,0,12.4279,9292049008
20.0132,49967,4.02576,0,33,0,0,0,0,0,12.4279,9392195538
19.9645,50089,4.02576,0,33,0,0,0,0,0,12.4279,9492354663
10.6728,93696,4.02576,0,33,0,0,0,0,0,12.4279,9592494141
631.712,1583,4.02576,0,33,0,0,0,0,0,12.4279,9692624385
22.818,43825,2.9316,0,32,0,0,0,0,0,12.4277,9792707923
23.1225,43248,2.9316,0,32,0,0,0,0,0,12.4277,9892838877
20.7961,48086,2.9316,0,32,0,0,0,0,0,12.4277,9992989594
22.2153,45014,2.9316,0,32,0,0,0,0,0,12.4277,10093121380
20.4215,48968,2.9316,0,32,0,0,0,0,0,12.4277,10193203640
23.4494,42645,3.93443,0,32,0,0,0,0,0,12.4376,10293344776
19.6514,50887,3.93443,0,32,0,0,0,0,0,12.4376,10393487294
19.6059,51005,3.93443,0,32,0,0,0,0,0,12.4376,10493572119
23.7383,42126,3.93443,0,32,0,0,0,0,0,12.4376,10593718447
22.8896,43688,3.93443,0,32,0,0,0,0,0,12.4376,10693799158
21.1878,47197,4.41899,0,31,0,0,0,0,0,12.4146,10793928965
23.161,43176,4.41899,0,31,0,0,0,0,0,12.4146,10894067161
21.6797,46126,4.41899,0,31,0,0,0,0,0,12.4146,10994205333
20.7499,48193,4.41899,0,31,0,0,0,0,0,12.4146,11094359022
23.1187,43255,4.41899,0,31,0,0,0,0,0,12.4146,11194480361
20.139,49655,4.23453,0,31,0,0,0,0,0,12.4195,11294635641
22.3269,44789,4.23453,0,31,0,0,0,0,0,12.4195,11394806049
20.1078,49732,4.23453,0,31,0,0,0,0,0,12.4195,11494956435
19.8882,50281,4.23453,0,31,0,0,0,0,0,12.4195,11595046441
22.9911,43495,4.23453,0,31,0,0,0,0,0,12.4195,11695183827
20.3013,49258,4.23453,0,31,0,0,0,0,0,12.4195,11795319414
18.4087,54322,2.45499,0,33,0,0,0,0,0,12.4193,11895413285
24.097,41499,2.45499,0,33,0,0,0,0,0,12.4193,11995554283
23.1332,43228,2.45499,0,33,0,0,0,0,0,12.4193,12095687399
20.9122,47819,2.45499,0,33,0,0,0,0,0,12.4193,12195826613
23.0176,43445,2.45499,0,33,0,0,0,0,0,12.4193,12295966704
22.6521,44146,4.38312,0,33,0,0,0,0,0,12.4279,12396116339
21.1421,47299,4.38312,0,33,0,0,0,0,0,12.4279,12496202429
20.9153,47812,4.38312,0,33,0,0,0,0,0,12.4279,12596349698
20.2614,49355,4.38312,0,33,0,0,0,0,0,12.4279,12696532000
21.9983,45458,4.38312,0,33,0,0,0,0,0,12.4279,12796613319
20.2967,49269,2.30263,0,32,0,0,0,0,0,12.4279,12896697094
19.566,51109,2.30263,0,32,0,0,0,0,0,12.4279,12996837727
22.3439,44755,2.30263,0,32,0,0,0,0,0,12.4279,13096899876
21.1439,47295,2.30263,0,32,0,0,0,0,0,12.4279,13196972648
20.1939,49520,2.30263,0,32,0,0,0,0,0,12.4279,13297117495
22.0245,45404,4.96,0,32,0,0,0,0,0,12.4328,13397393531
22.91,43649,4.96,0,32,0,0,0,0,0,12.4328,13497498942
20.8099,48054,4.96,0,32,0,0,0,0,0,12.4328,13597629043
22.7666,43924,4.96,0,32,0,0,0,0,0,12.4328,13697767005
20.336,49174,4.96,0,32,0,0,0,0,0,12.4328,13797904070
19.6109,50992,2.8481,0,31,0,0,0,0,0,12.4328,13898034977
21.9154,45630,2.8481,0,31,0,0,0,0,0,12.4328,13998178169
22.3035,44836,2.8481,0,31,0,0,0,0,0,12.4328,14098307251
21.8637,45738,2.8481,0,31,0,0,0,0,0,12.4328,14198466198
19.646,50901,2.8481,0,31,0,0,0,0,0,12.4328,14298621450
20.2368,49415,4.28336,0,31,0,0,0,0,0,12.4377,14398758921
21.1282,47330,4.28336,0,31,0,0,0,0,0,12.4377,14498896823
19.2961,51824,4.28336,0,31,0,0,0,0,0,12.4377,14599031750
20.0068,49983,4.28336,0,31,0,0,0,0,0,12.4377,14699168550
22.5678,44311,4.28336,0,31,0,0,0,0,0,12.4377,14799230921
23.3068,42906,3.8961,0,33,0,0,0,0,0,12.4198,14899323279
21.2256,47113,3.8961,0,33,0,0,0,0,0,12.4198,14999412411
23.0224,43436,3.8961,0,33,0,0,0,0,0,12.4198,15099524013
23.663,42260,3.8961,0,33,0,0,0,0,0,12.4198,15199616284
24.3268,41107,3.8961,0,33,0,0,0,0,0,12.4198,15299728148
22.5301,44385,3.8961,0,33,0,0,0,0,0,12.4198,15399835250
22.5413,44363,9.34579,0,33,0,0,0,0,0,12.6302,15499932953
23.4285,42683,9.34579,0,33,0,0,0,0,0,12.6302,15600024246
23.5095,42536,9.34579,0,33,0,0,0,0,0,12.6302,15700135832
21.856,45754,9.34579,0,33,0,0,0,0,0,12.6302,15800196598
23.5438,42474,9.34579,0,33,0,0,0,0,0,12.6302,15900256890
21.8512,45764,15.0235,0,36,0,0,0,0,0,12.4156,16000315995
24.8102,40306,15.0235,0,36,0,0,0,0,0,12.4156,16100458941
21.7415,45995,15.0235,0,36,0,0,0,0,0,12.4156,16200534481
20.3761,49077,15.0235,0,36,0,0,0,0,0,12.4156,16300638824
20.9516,47729,15.0235,0,36,0,0,0,0,0,12.4156,16400700790
20.6054,48531,15.0235,0,36,0,0,0,0,0,12.4156,16500845337
18.7832,53239,11.2291,0,36,0,0,0,0,0,12.4672,16600983931
20.0642,49840,11.2291,0,36,0,0,0,0,0,12.4672,16701089320
13.9552,71658,11.2291,0,36,0,0,0,0,0,12.4672,16801225608
13.2137,75679,11.2291,0,36,0,0,0,0,0,12.4672,16901363403
18.9717,52710,11.2291,0,36,0,0,0,0,0,12.4672,17001512169
18.875,52980,5.45455,0,33,0,0,0,0,0,12.4726,17101609487
18.2166,54895,5.45455,0,33,0,0,0,0,0,12.4726,17201685695
18.5457,53921,5.45455,0,33,0,0,0,0,0,12.4726,17301837940
13.9297,71789,5.45455,0,33,0,0,0,0,0,12.4726,17401935724
19.5259,51214,5.45455,0,33,0,0,0,0,0,12.4726,17502029227
16.1215,62029,6.45669,0,33,0,0,0,0,0,12.4656,17602211715
19.2478,51954,6.45669,0,33,0,0,0,0,0,12.4656,17702367543
19.2197,52030,6.45669,0,33,0,0,0,0,0,12.4656,17802506810
19.5171,51237,6.45669,0,33,0,0,0,0,0,12.4656,17902643055
19.4882,51313,6.45669,0,33,0,0,0,0,0,12.4656,18002782818
18.8993,52912,6.45669,0,33,0,0,0,0,0,12.4656,18102844089
20.7982,48081,4.96894,0,33,0,0,0,0,0,12.4633,18202968890
18.729,53393,4.96894,0,33,0,0,0,0,0,12.4633,18303057855
19.4696,51362,4.96894,0,33,0,0,0,0,0,12.4633,18403224373
18.792,53214,4.96894,0,33,0,0,0,0,0,12.4633,18503363443
18.423,54280,4.96894,0,33,0,0,0,0,0,12.4633,18603505946
19.0705,52437,3.05958,0,33,0,0,0,0,0,12.4635,18703660550
19.9382,50155,3.05958,0,33,0,0,0,0,0,12.4635,18803803546
19.9195,50202,3.05958,0,33,0,0,0,0,0,12.4635,18903864718
21.1162,47357,3.05958,0,33,0,0,0,0,0,12.4635,19003949150
22.142,45163,3.05958,0,33,0,0,0,0,0,12.4635,19104016749
20.367,49099,5.44323,0,32,0,0,0,0,0,12.4356,19204174317
23.0904,43308,5.44323,0,32,0,0,0,0,0,12.4356,19304256320
23.2331,43042,5.44323,0,32,0,0,0,0,0,12.4356,19404344845
21.2112,47145,5.44323,0,32,0,0,0,0,0,12.4356,19504479431
22.3399,44763,5.44323,0,32,0,0,0,0,0,12.4356,19604560854
19.7789,50559,2.59319,0,32,0,0,0,0,0,12.4356,19704733586
20.9718,47683,2.59319,0,32,0,0,0,0,0,12.4356,19804879746
19.9581,50105,2.59319,0,32,0,0,0,0,0,12.4356,19905041317
19.5366,51186,2.59319,0,32,0,0,0,0,0,12.4356,20005171102
23.6485,42286,2.59319,0,32,0,0,0,0,0,12.4356,20105267579
19.6788,50816,2.59319,0,32,0,0,0,0,0,12.4356,20205392265
21.6291,46234,3.72771,0,32,0,0,0,0,0,12.4518,20305531391
22.9526,43568,3.72771,0,32,0,0,0,0,0,12.4518,20405609979
19.725,50697,3.72771,0,32,0,0,0,0,0,12.4518,20505685878
22.7469,43962,3.72771,0,32,0,0,0,0,0,12.4518,20605781559
19.7574,50614,3.72771,0,32,0,0,0,0,0,12.4518,20705879034
23.1423,43211,3.79147,0,32,0,0,0,0,0,12.4518,20806016337
22.9695,43536,3.79147,0,32,0,0,0,0,0,12.4518,20906153192
20.2823,49304,3.79147,0,32,0,0,0,0,0,12.4518,21006288900
23.0819,43324,3.79147,0,32,0,0,0,0,0,12.4518,21106388200
23.3372,42850,3.79147,0,32,0,0,0,0,0,12.4518,21206485072
20.1824,49548,3.57143,0,31,0,0,0,0,0,12.4618,21306622351
19.7052,50748,3.57143,0,31,0,0,0,0,0,12.4618,21406712921
19.2545,51936,3.57143,0,31,0,0,0,0,0,12.4618,21506881940
22.169,45108,3.57143,0,31,0,0,0,0,0,12.4618,21607017814
20.0747,49814,3.57143,0,31,0,0,0,0,0,12.4618,21707150488
20.2684,49338,2.27273,0,31,0,0,0,0,0,12.4618,21807300345
22.9379,43596,2.27273,0,31,0,0,0,0,0,12.4618,21907434284
20.7215,48259,2.27273,0,31,0,0,0,0,0,12.4618,22007523610
19.6132,50986,2.27273,0,31,0,0,0,0,0,12.4618,22107668634
21.9949,45465,2.27273,0,31,0,0,0,0,0,12.4618,22207757610
23.0356,43411,4.07166,0,33,0,0,0,0,0,12.4757,22307952621
21.1082,47375,4.07166,0,33,0,0,0,0,0,12.4757,22408111057
23.1048,43281,4.07166,0,33,0,0,0,0,0,12.4757,22508187030
22.6644,44122,4.07166,0,33,0,0,0,0,0,12.4757,22608269149
21.1797,47215,4.07166,0,33,0,0,0,0,0,12.4757,22708357766
22.3969,44649,4.07166,0,33,0,0,0,0,0,12.4757,22808501759
20.5318,48705,2.27273,0,33,0,0,0,0,0,12.4757,22908609588
21.1171,47355,2.27273,0,33,0,0,0,0,0,12.4757,23008677697
22.4075,44628,2.27273,0,33,0,0,0,0,0,12.4757,23108788102
19.2171,52037,2.27273,0,33,0,0,0,0,0,12.4757,23208924783
19.7429,50651,2.27273,0,33,0,0,0,0,0,12.4757,23309061768
21.9149,45631,4.22078,0,31,0,0,0,0,0,12.4845,23409193483
23.0856,43317,4.22078,0,31,0,0,0,0,0,12.4845,23509282116
20.9118,47820,4.22078,0,31,0,0,0,0,0,12.4845,23609367887
20.9122,47819,4.22078,0,31,0,0,0,0,0,12.4845,23709459195
23.0521,43380,4.22078,0,31,0,0,0,0,0,12.4845,23809579567
19.8157,50465,3.6859,0,31,0,0,0,0,0,12.466,23909718506
