os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 22.04.1 LTS,11th Gen Intel Core i5-11400 @ 2.60GHz,UHD Graphics 730,65647272,5.15.0-50-generic,4.6 Mesa 22.2.0-devel,powersave
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
38.1796,26192,4.29752,0,31,0,0,0,0,0,12.4387,252107558
37.2356,26856,4.29752,0,31,0,0,0,0,0,12.4387,352277995
48.6665,20548,4.29752,0,31,0,0,0,0,0,12.4387,452391984
40.282,24825,4.29752,0,31,0,0,0,0,0,12.4387,552542711
45.5519,21953,4.29752,0,31,0,0,0,0,0,12.4387,652637542
44.1872,22631,4.29752,0,31,0,0,0,0,0,12.4387,752830282
34.4376,29038,5.09031,0,31,0,0,0,0,0,12.4428,853023755
36.8256,27155,5.09031,0,31,0,0,0,0,0,12.4428,953178717
40.9031,24448,5.09031,0,31,0,0,0,0,0,12.4428,1053268370
44.611,22416,5.09031,0,31,0,0,0,0,0,12.4428,1153383433
48.3536,20681,5.09031,0,31,0,0,0,0,0,12.4428,1253476680
35.3782,28266,3.18792,0,31,0,0,0,0,0,12.4428,1353568850
45.7708,21848,3.18792,0,31,0,0,0,0,0,12.4428,1453644933
36.4604,27427,3.18792,0,31,0,0,0,0,0,12.4428,1553796469
36.27,27571,3.18792,0,31,0,0,0,0,0,12.4428,1653953217
35.3895,28257,3.18792,0,31,0,0,0,0,0,12.4428,1754093887
36.5377,27369,5.66343,0,31,0,0,0,0,0,12.4545,1854185132
36.1219,27684,5.66343,0,31,0,0,0,0,0,12.4545,1954356350
38.5624,25932,5.66343,0,31,0,0,0,0,0,12.4545,2054498832
39.8963,25065,5.66343,0,31,0,0,0,0,0,12.4545,2154598322
48.5531,20596,5.66343,0,31,0,0,0,0,0,12.4545,2254716389
31.3834,31864,4.63576,0,31,0,0,0,0,0,12.4328,2354792527
47.1143,21225,4.63576,0,31,0,0,0,0,0,12.4328,2454871422
43.956,22750,4.63576,0,31,0,0,0,0,0,12.4328,2554976693
45.0187,22213,4.63576,0,31,0,0,0,0,0,12.4328,2655077140
