os,cpu,gpu,ram,kernel,driver,cpuscheduler
Ubuntu 22.04.1 LTS,11th Gen Intel Core i5-11400 @ 2.60GHz,UHD Graphics 730,65647272,5.15.0-50-generic,4.6 Mesa 22.2.0-devel,powersave
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
18.0606,55369,5.38827,0,31,0,0,0,0,0,12.4224,30733048
44.9418,22251,5.38827,0,31,0,0,0,0,0,12.4224,130869594
38.9044,25704,5.38827,0,31,0,0,0,0,0,12.4224,231001678
42.6021,23473,5.38827,0,31,0,0,0,0,0,12.4224,331132857
37.618,26583,5.38827,0,31,0,0,0,0,0,12.4224,431194967
43.2825,23104,5.38827,0,31,0,0,0,0,0,12.4224,531304748
33.753,29627,6.59164,0,31,0,0,0,0,0,12.4309,631384252
44.4464,22499,6.59164,0,31,0,0,0,0,0,12.4309,731525687
42.8522,23336,6.59164,0,31,0,0,0,0,0,12.4309,831602523
40.6091,24625,6.59164,0,31,0,0,0,0,0,12.4309,931759735
40.4106,24746,6.59164,0,31,0,0,0,0,0,12.4309,1031936366
43.9967,22729,5.64516,0,32,0,0,0,0,0,12.4505,1132004740
33.9605,29446,5.64516,0,32,0,0,0,0,0,12.4505,1232128080
33.8914,29506,5.64516,0,32,0,0,0,0,0,12.4505,1332255135
34.0925,29332,5.64516,0,32,0,0,0,0,0,12.4505,1432387138
35.137,28460,5.64516,0,32,0,0,0,0,0,12.4505,1532476468
41.4852,24105,5.68562,0,32,0,0,0,0,0,12.4642,1632606913
43.3708,23057,5.68562,0,32,0,0,0,0,0,12.4642,1732739566
43.9522,22752,5.68562,0,32,0,0,0,0,0,12.4642,1832800751
40.2059,24872,5.68562,0,32,0,0,0,0,0,12.4642,1932909243
39.3623,25405,5.68562,0,32,0,0,0,0,0,12.4642,2032989407
45.2161,22116,6.36215,0,34,0,0,0,0,0,12.4464,2133017238
33.9202,29481,6.36215,0,34,0,0,0,0,0,12.4464,2233099034
